ID,Name
91129,Honey
91128,Squarespace
91721,DraftKings
91469,Goodyear Tire and Rubber Company
91194,Taco Bell
91708,Pepsi
91526,Geico
91755,Flagstar Bank
91256,LendingTree
91243,Love's Travel Stops & Country Stores
91132,State Farm
91101,Microsoft
91858,Bleacher Report
91239,Autotrader
91078,Rakuten
91719,Walt Disney World
91415,FanDuel
91337,PayPal
91402,Google
91853,Puma
91906,Zenni Optical
91406,Sharecare
91630,Performance Health (Biofreeze)
91377,Ultimate Kronos Group
91746,Sun Life Financial
91223,HP
91234,Tissot
91570,Qualtrics
91832,Motorola
91703,Ibotta
91249,Nike
91668,AT&T
91238,Vistaprint
91587,Gatorade
91215,Kumho Tire
91733,Frost Bank
91772,Tractor Supply Co.
91692,FedEx
91498,StubHub
91414,Wish
91589,State Farm Insurance
91295,Michelob Ultra
91519,Chime
91689,Western Union
91782,Kia
91382,Anheuser-Busch Inbev
91050,Adidas
91571,Coca Cola
91039,McDonald's
91019,Lexus
91783,Uber
91699,Toyota
91130,Molson Coors
91450,Under Armour
91883,Spalding
91686,Jack Daniels
91609,Marriott
91551,Bayer
